date,local,school,light rail,peak,Rapid,other
2020-08-05,11328,5320,5499,168,11624,236
2019-12-08,2747,0,4348,0,6353,479
2020-03-24,5555,443,3348,210,8169,110
2019-09-11,18887,5779,11269,446,24581,397
2020-01-21,13327,0,10065,441,20494,586
2020-04-07,2951,33,1445,47,3497,75
2020-09-22,12729,5228,6177,228,12778,272
2020-07-10,6701,0,4883,111,9377,370
2020-04-29,2831,70,1499,59,3692,57
2020-03-01,2913,0,5287,0,6972,584
2020-06-18,9658,4895,5045,151,10691,229
2019-12-09,16216,3790,10496,428,22018,498
2019-12-13,16427,2053,11591,306,22808,961
2019-10-21,18176,5698,11383,428,24814,407
2020-02-07,19368,6794,11698,382,24486,602
2019-09-02,18055,5830,10561,417,23455,432
2020-04-01,3044,72,1606,63,3666,78
2020-02-16,2910,0,3843,0,6437,366
2019-12-16,15611,1104,10008,440,21149,469
2020-03-02,19911,6518,11841,485,26947,467
2020-09-15,12547,5124,6226,200,12671,308
2019-12-14,3821,0,5663,0,8312,759
2020-01-06,8773,0,6512,236,12938,426
2019-07-11,12776,0,9070,421,19204,466
2020-03-04,18430,6040,11022,470,25248,532
2020-04-09,3294,34,1501,40,3661,69
2020-04-22,3015,0,1675,40,3826,81
2019-09-29,2781,0,4752,0,7669,598
2020-03-23,10418,4119,4538,256,12058,129
2019-07-27,5383,0,5790,0,8231,733
2020-09-26,2377,0,3389,0,5286,377
2019-08-26,18395,5465,11274,403,24636,404
2019-10-08,13860,0,10195,417,22073,604
2020-04-18,985,0,1303,0,1830,61
2020-07-18,2035,0,3225,0,4853,363
2019-07-14,3584,0,3082,0,4761,407
2019-09-24,19105,5437,12366,479,25750,532
2020-03-17,16698,5750,9101,395,22215,301
2019-12-10,16469,3831,10745,437,22691,510
2020-04-24,3340,0,1732,41,4129,91
2020-07-24,11450,5209,5903,124,11382,352
2019-08-11,3707,0,3625,0,5770,319
2020-02-19,20862,6723,12049,478,27974,573
2020-07-01,9067,3578,5593,140,10841,242
2020-03-30,3175,66,1720,83,4246,57
